dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label,is_unknown_target,binary_prob,binary_pred,anomaly_score,unknown_by_anom,mc_pred,mc_max_prob,mc_top1_class,mc_top1_prob,mc_top2_class,mc_top2_prob,mc_top3_class,mc_top3_prob,unknown_pred,mode,mc_conf_min,final_decision
0.815378,tcp,http,FIN,10,8,836,1094,20.849225,62,252,7387.984375,9399.321289,2,2,90.580667,103.773141,4779.991936,174.672156,255,2700001451,3242877272,255,0.164392,0.088963,0.075429,84,137,1,140,6,1,2,2,2,6,0,0,4,2,6,0,Normal,0,0,0.1909822802597578,0,-0.06423207217976,0,,,,,,,,,0,anomaly_only,0.6,benign
0.201635,tcp,-,CON,6,2,998,86,34.716195,62,252,33010.14063,1706.052979,2,1,40.327,0.009,2410.813068,0.0,255,2660825232,237850161,255,0.166918,0.078,0.088918,166,43,0,0,6,3,2,2,1,6,0,0,0,2,6,0,Normal,0,0,0.0003402398776424,0,-0.0985724316485033,0,,,,,,,,,0,anomaly_only,0.6,benign
1.1e-05,udp,-,INT,2,0,1742,0,90909.0902,254,0,633454528.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,871,0,0,0,15,2,30,8,1,14,0,0,0,9,14,0,Normal,0,0,0.962560313774338,1,-0.0222895155132621,0,Fuzzers,0.9955605584935756,Fuzzers,0.9955605584935756,Exploits,0.0019493213870295,DoS,0.0014393167427101,0,anomaly_only,0.6,attack:Fuzzers
1.465845,tcp,ftp,FIN,12,12,2618,682,15.690609,254,252,13098.24707,3416.459473,3,4,133.258642,125.890547,6867.896581,162.598141,255,1077009472,1558509307,255,0.176546,0.08038,0.096166,218,57,0,0,2,1,1,1,1,2,0,0,0,3,2,0,Normal,0,0,0.9529534841301888,1,-0.1233690555375512,0,Fuzzers,0.9902734726252552,Fuzzers,0.9902734726252552,Exploits,0.0058378031719271,DoS,0.0019825887935697,0,anomaly_only,0.6,attack:Fuzzers
4.029813,tcp,-,FIN,122,126,7816,16782,61.29317,31,29,15389.30078,33051.66016,30,32,33.301304,32.234512,2058.175691,2025.932393,255,639080153,680877496,255,0.000645,0.000494,0.000151,64,133,0,0,2,0,4,1,1,1,0,0,0,1,9,0,Normal,0,0,1.7598609765693487e-05,0,-0.1330861032754594,0,,,,,,,,,0,anomaly_only,0.6,benign
0.553563,tcp,-,CON,6,2,998,86,12.645354,62,252,12023.92481,621.428833,2,1,110.7126,0.001,6342.834639,0.0,255,3687552727,2472235580,255,0.431713,0.173402,0.258311,166,43,0,0,1,3,2,1,1,1,0,0,0,2,1,0,Normal,0,0,0.0048322804887856,0,-0.0689065481661787,0,,,,,,,,,0,anomaly_only,0.6,benign
4e-06,tcp,-,REQ,2,0,90,0,250000.0006,254,0,90000000.0,0.0,1,0,0.004,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,9,6,2,1,1,6,0,0,0,3,6,0,Normal,0,0,0.0006335236055354,0,-0.0681358193629462,0,,,,,,,,,0,anomaly_only,0.6,benign
0.016134,tcp,-,FIN,40,42,2542,21006,5020.453871,31,29,1229205.5,10167845.0,7,14,0.404026,0.376585,31.224762,29.252943,255,1480374769,3630312792,255,0.000847,0.000684,0.000163,64,500,0,0,4,0,2,1,1,2,0,0,0,3,7,0,Normal,0,0,8.169037451979455e-07,0,-0.1464710974084873,0,,,,,,,,,0,anomaly_only,0.6,benign
0.262652,tcp,-,FIN,16,18,1540,1644,125.641529,31,29,43982.14844,47302.13281,4,4,17.486067,15.422117,1076.678588,28.55134,255,1541665478,3740104547,255,0.000602,0.000468,0.000134,96,91,0,0,10,0,10,5,1,5,0,0,0,7,14,0,Normal,0,0,5.257927526354006e-06,0,-0.1467876985121138,0,,,,,,,,,0,anomaly_only,0.6,benign
0.777168,tcp,-,FIN,10,6,534,268,19.300847,254,252,4951.310547,2305.807861,2,1,86.243889,126.754203,4420.815582,194.163969,255,160148424,1973419499,255,0.219149,0.143394,0.075755,53,45,0,0,2,1,1,1,1,2,0,0,0,1,2,0,Normal,0,0,0.1738842749824919,0,-0.1377175492064358,0,,,,,,,,,0,anomaly_only,0.6,benign
0.306992,tcp,-,FIN,28,28,4192,2976,179.157766,31,29,105357.7969,74790.22656,7,7,11.357704,11.351111,656.969332,17.293398,255,206169634,2359524098,255,0.001092,0.000505,0.000587,150,106,0,0,7,0,3,1,1,3,0,0,0,10,7,0,Normal,0,0,4.984861839931914e-07,0,-0.1568895201988406,0,,,,,,,,,0,anomaly_only,0.6,benign
5e-06,udp,-,INT,2,0,1064,0,200000.0051,254,0,851200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,532,0,0,0,35,2,13,13,1,35,0,0,0,13,35,0,Normal,0,0,0.7857890501862571,0,-0.0342975506068129,0,,,,,,,,,0,anomaly_only,0.6,benign
0.743328,tcp,-,FIN,14,12,3338,678,33.632529,254,252,33363.46875,6694.21875,3,3,7094.719357,8273.0245,833150.5976,27239.494,255,2314179686,1387411187,255,0.099148,0.04787,0.051278,238,57,0,0,6,1,3,3,2,6,0,0,0,3,6,0,Normal,0,0,0.2046478532781254,0,-0.020418972545229,0,,,,,,,,,0,anomaly_only,0.6,benign
0.099821,tcp,-,FIN,64,66,3806,52014,1292.313224,31,29,300297.5313,4105428.75,7,26,1.579508,1.527477,88.105693,84.898022,255,3033386654,3100322521,255,0.000679,0.00053,0.000149,59,788,0,0,6,0,2,1,1,1,0,0,0,4,6,0,Normal,0,0,1.502166350141867e-06,0,-0.1521810922486575,0,,,,,,,,,0,anomaly_only,0.6,benign
0.521601,tcp,ftp,FIN,52,54,2934,3742,201.303287,31,29,44141.01953,56334.24609,11,15,10.221098,9.830773,1089.6251,42.275031,255,2991688921,2996930988,255,0.000703,0.000565,0.000138,56,69,0,0,1,0,4,1,1,2,1,1,0,9,1,0,Normal,0,0,1.9189375430915918e-05,0,-0.0829694582346167,0,,,,,,,,,0,anomaly_only,0.6,benign
0.0,arp,-,INT,1,0,46,0,0.0,0,0,0.0,0.0,0,0,60000.78,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,1,2,1,1,1,1,0,0,0,1,1,1,Normal,0,0,1.1219896632083852e-05,0,-0.0596768167583895,0,,,,,,,,,0,anomaly_only,0.6,benign
0.506544,tcp,http,FIN,10,8,828,1194,33.560757,62,252,11781.79981,16503.99609,2,2,56.282667,61.620285,2777.541032,94.943266,255,2451476542,2042401122,255,0.113345,0.074516,0.038829,83,149,1,195,4,1,1,1,1,4,0,0,1,4,4,0,Normal,0,0,0.102121868513162,0,-0.1008267013104278,0,,,,,,,,,0,anomaly_only,0.6,benign
0.004131,tcp,http,FIN,8,10,1040,824,4115.226314,31,29,1762285.125,1436940.25,2,2,0.540143,0.400778,34.636825,0.741133,255,3448063215,3449120449,255,0.000656,0.00052,0.000136,130,82,1,83,2,0,2,1,1,2,0,0,1,3,2,0,Normal,0,0,5.925705832926981e-06,0,-0.1220932714633123,0,,,,,,,,,0,anomaly_only,0.6,benign
1.497017,tcp,http,FIN,14,18,1684,10168,20.707847,31,29,8357.954102,51323.39844,3,5,115.127846,88.013824,9472.140271,8295.248743,255,1575221761,3898638279,255,0.0009,0.000778,0.000122,120,565,1,3924,1,0,5,1,1,1,0,0,1,1,2,0,Normal,0,0,2.3319252607946657e-05,0,-0.1173536384794811,0,,,,,,,,,0,anomaly_only,0.6,benign
1.744932,tcp,-,FIN,122,126,7816,16782,141.55279,31,29,35540.64063,76330.76563,30,32,14.418289,13.955472,865.119021,854.145217,255,1784632788,3966343142,255,0.000627,0.000492,0.000135,64,133,0,0,6,0,1,1,1,1,0,0,0,1,6,0,Normal,0,0,5.722740914740105e-06,0,-0.1346246087712297,0,,,,,,,,,0,anomaly_only,0.6,benign
0.013567,tcp,-,FIN,16,18,1540,1644,2432.372723,31,29,851477.875,915751.5,4,4,0.883667,0.770765,61.403248,1.418243,255,3190588190,3192906427,255,0.000581,0.00046,0.000121,96,91,0,0,10,0,10,6,1,9,0,0,0,17,9,0,Normal,0,0,4.3012206075170055e-06,0,-0.1312604721372566,0,,,,,,,,,0,anomaly_only,0.6,benign
0.018312,tcp,-,FIN,16,18,1540,1644,1802.097011,31,29,630843.1875,678462.25,4,4,1.200067,1.050059,73.829836,2.007544,255,1875847787,1881699415,255,0.000578,0.000457,0.000121,96,91,0,0,19,0,8,12,1,8,0,0,0,18,23,0,Normal,0,0,6.4121358031432015e-06,0,-0.1100739148058853,0,,,,,,,,,0,anomaly_only,0.6,benign
0.50294,tcp,http,FIN,10,8,858,1270,33.801249,62,252,12295.70117,17687.99414,2,2,55.882222,62.40243,2961.011467,99.151156,255,3352821524,816542949,255,0.098383,0.037744,0.060639,86,159,1,214,2,1,1,1,1,2,0,0,1,1,2,0,Normal,0,0,0.186856099760214,0,-0.0982270448687251,0,,,,,,,,,0,anomaly_only,0.6,benign
0.222394,tcp,ftp-data,FIN,14,6,8928,320,85.433958,31,29,298245.4375,9604.575195,4,1,17.10723,44.134,1575.692551,66.548984,255,1830944690,2145343602,255,0.001734,0.001578,0.000156,638,53,0,0,3,0,11,1,1,2,0,0,0,5,3,0,Normal,0,0,2.827434635457116e-06,0,-0.1378528192381701,0,,,,,,,,,0,anomaly_only,0.6,benign
0.00113,udp,dns,CON,2,2,130,162,2654.867281,31,29,460177.0,573451.3125,0,0,0.011,0.008,0.0,0.0,0,0,0,0,0.0,0.0,0.0,65,81,0,0,3,0,7,1,1,3,0,0,0,3,2,0,Normal,0,0,3.880957385336661e-06,0,-0.1422867161583918,0,,,,,,,,,0,anomaly_only,0.6,benign
7.010591,tcp,-,FIN,660,1278,36762,1641360,276.296248,31,29,41887.48047,1871540.875,55,583,10.637719,5.489468,4791.984052,3442.528357,255,3747337770,1605424642,255,0.000685,0.000536,0.000149,56,1284,0,0,13,0,1,1,1,1,0,0,0,4,19,0,Normal,0,0,9.977304020853269e-07,0,0.0580828230532703,1,,,,,,,,,1,anomaly_only,0.6,unknown
0.001049,udp,dns,CON,2,2,146,178,2859.866662,31,29,556720.6875,678741.6875,0,0,0.01,0.008,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,1,0,2,1,1,1,0,0,0,1,2,0,Normal,0,0,4.910335744463333e-06,0,-0.1502833669509479,0,,,,,,,,,0,anomaly_only,0.6,benign
0.030847,tcp,-,FIN,122,126,7818,15172,8007.261657,31,29,2010957.25,3903653.5,30,32,0.252157,0.2408,15.920767,14.092099,255,752799671,753864203,255,0.000842,0.000742,0.0001,64,120,0,0,17,0,1,1,1,1,0,0,0,4,12,0,Normal,0,0,8.778110693852638e-07,0,-0.1197423867740707,0,,,,,,,,,0,anomaly_only,0.6,benign
0.004963,tcp,-,FIN,18,18,4560,2456,7052.186406,31,29,6942575.5,3739673.75,7,7,0.272941,0.261471,13.576757,0.343244,255,321791367,2470453182,255,0.000651,0.000514,0.000137,253,136,0,0,3,0,8,1,1,3,0,0,0,3,8,0,Normal,0,0,2.1751158913129565e-06,0,-0.1421967912739559,0,,,,,,,,,0,anomaly_only,0.6,benign
0.43815,tcp,-,FIN,10,6,2516,268,34.234852,254,252,41355.70313,4089.923584,2,1,46.097556,70.434797,2383.077646,96.788008,255,984046170,1227129241,255,0.149934,0.08597,0.063964,252,45,0,0,2,1,1,1,1,2,0,0,0,17,2,0,Normal,0,0,0.9243209432860964,0,-0.1217023627923203,0,,,,,,,,,0,anomaly_only,0.6,benign
6e-06,udp,-,INT,2,0,104,0,166666.6608,254,0,69333328.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,4,2,1,1,1,2,0,0,0,2,2,0,Normal,0,0,0.5064798530193697,0,-0.11728680456356,0,,,,,,,,,0,anomaly_only,0.6,benign
0.652272,tcp,-,FIN,16,18,1540,1644,50.592392,31,29,17710.4043,19047.26953,4,4,43.460868,38.33859,2533.797647,75.749648,255,2920969498,2945865917,255,0.000637,0.000505,0.000132,96,91,0,0,14,0,9,5,1,7,0,0,0,13,6,0,Normal,0,0,1.1400819524857169e-05,0,-0.1451877927902018,0,,,,,,,,,0,anomaly_only,0.6,benign
