feature,value,shap_value,abs_shap
num__sttl,31.0,-8.133823389369955,8.133823389369955
num__ct_state_ttl,0.0,-4.831419441275685,4.831419441275685
num__ct_dst_sport_ltm,1.0,-0.5198336865043286,0.5198336865043286
cat__service_dns,0.0,-0.33874541458519475,0.33874541458519475
num__ct_srv_src,5.0,-0.23001116773867697,0.23001116773867697
num__dbytes,1832.0,0.20939466787200806,0.20939466787200806
num__sbytes,1470.0,-0.20673140212059876,0.20673140212059876
cat__proto_unas,0.0,-0.13981261984234866,0.13981261984234866
cat__state_CON,0.0,-0.12266052348338136,0.12266052348338136
num__dmean,115.0,0.11266441420822931,0.11266441420822931
