feature,value,shap_value,abs_shap
num__sttl,254.0,3.510080430071213,3.510080430071213
num__ct_dst_sport_ltm,21.0,2.397263610648033,2.397263610648033
cat__service_dns,1.0,2.200999094125385,2.200999094125385
num__ct_state_ttl,2.0,1.500924448198956,1.500924448198956
num__ct_srv_src,28.0,-1.1498514854558084,1.1498514854558084
num__ct_srv_dst,28.0,-0.5526326381161174,0.5526326381161174
num__sbytes,114.0,0.5375512067116915,0.5375512067116915
num__ct_dst_ltm,21.0,0.4530214345845904,0.4530214345845904
num__ct_dst_src_ltm,28.0,0.44953717015173156,0.44953717015173156
num__ct_src_ltm,21.0,0.28865438459915144,0.28865438459915144
