column_name,value,count
Label,1,2836524
Label,0,2515236
Attack,Benign,2515236
Attack,xss,2149308
Attack,password,340208
Attack,injection,277696
Attack,scanning,36205
Attack,backdoor,27145
Attack,ransomware,5098
Attack,mitm,517
Attack,ddos,202
Attack,dos,145
Flow ID,192.168.1.195-192.168.1.1-50852-49152-6,70859
Flow ID,177.30.87.144-192.168.1.1-0-0-0,1812
Flow ID,192.168.1.195-192.168.1.1-49755-41952-6,1323
Flow ID,192.168.1.195-192.168.1.1-50868-49152-6,1220
Flow ID,8.6.0.1-8.0.6.4-0-0-0,1114
Flow ID,192.168.1.195-224.0.0.251-5353-5353-17,949
Flow ID,192.168.1.1-192.168.1.195-49152-50852-6,884
Flow ID,192.168.1.195-239.255.255.250-61574-3702-17,801
Flow ID,192.168.1.193-192.168.1.33-49242-8080-6,775
Flow ID,192.168.1.193-192.168.1.37-49249-8080-6,775
Flow ID,192.168.1.193-192.168.1.37-49231-4444-6,774
Flow ID,192.168.1.193-192.168.1.33-49361-8080-6,770
Flow ID,192.168.1.193-192.168.1.33-49362-8080-6,770
Flow ID,192.168.1.193-192.168.1.33-49377-8080-6,770
Flow ID,192.168.1.193-192.168.1.33-49370-4444-6,769
Flow ID,244.15.103.115-192.168.1.79-0-0-0,746
Flow ID,192.168.1.195-192.168.1.1-50842-41952-6,716
Flow ID,41.24.115.254-192.168.1.190-0-0-0,696
Flow ID,41.184.177.116-192.168.1.31-0-0-0,685
Flow ID,192.168.1.195-224.0.0.251-0-0-0,547
Flow ID,192.168.1.195-224.0.0.252-0-0-0,543
Flow ID,192.168.1.195-192.168.1.1-49749-49152-6,542
Flow ID,41.164.3.244-192.168.1.193-0-0-0,520
Flow ID,192.168.1.195-192.168.1.1-49771-41952-6,496
Flow ID,192.168.1.195-224.0.0.22-0-0-0,480
Flow ID,192.168.1.195-192.168.1.1-50884-49152-6,478
Flow ID,192.168.1.1-192.168.1.195-49152-49749-6,465
Flow ID,41.72.66.76-192.168.1.32-0-0-0,456
Flow ID,192.168.1.195-192.168.1.1-49756-41952-6,455
Flow ID,192.168.1.193-192.168.1.33-55966-8080-6,420
Flow ID,192.168.1.193-192.168.1.33-55967-8080-6,420
Flow ID,192.168.1.193-192.168.1.37-55977-8080-6,419
Flow ID,192.168.1.193-192.168.1.37-55985-8080-6,418
Flow ID,192.168.1.193-192.168.1.37-56069-8080-6,416
Flow ID,192.168.1.193-192.168.1.37-56036-8080-6,416
Flow ID,192.168.1.193-192.168.1.37-56038-8080-6,416
Flow ID,192.168.1.193-192.168.1.37-56090-8080-6,415
Flow ID,192.168.1.193-192.168.1.37-56093-8080-6,415
Flow ID,41.40.114.209-192.168.1.152-0-0-0,409
Flow ID,182.180.192.168-1.152.192.168-0-0-0,407
Flow ID,41.26.39.127-192.168.1.194-0-0-0,406
Flow ID,182.142.192.168-1.190.192.168-0-0-0,406
Flow ID,182.143.192.168-1.190.192.168-0-0-0,384
Flow ID,192.168.1.193-192.168.1.152-49338-1880-6,382
Flow ID,192.168.1.195-40.90.189.152-57861-443-6,378
Flow ID,182.138.192.168-1.194.192.168-0-0-0,378
Flow ID,183.54.192.168-1.1.192.168-0-0-0,368
Flow ID,182.148.192.168-1.184.192.168-0-0-0,361
Flow ID,182.139.192.168-1.194.192.168-0-0-0,360
Flow ID,182.149.192.168-1.184.192.168-0-0-0,359
Flow ID,192.168.1.1-192.168.1.195-49152-49733-6,356
Flow ID,192.168.1.193-192.168.1.37-49260-8080-6,356
Flow ID,192.168.1.193-192.168.1.33-49403-8080-6,350
Flow ID,182.201.192.168-1.152.192.168-0-0-0,347
Flow ID,182.140.192.168-1.190.192.168-0-0-0,345
Flow ID,41.219.29.220-192.168.1.184-0-0-0,345
Flow ID,183.58.192.168-1.1.192.168-0-0-0,343
Flow ID,192.168.1.195-192.168.1.1-49747-41952-6,331
Flow ID,182.97.192.168-1.79.192.168-0-0-0,328
Flow ID,183.53.192.168-1.1.192.168-0-0-0,326
Flow ID,182.141.192.168-1.190.192.168-0-0-0,325
Flow ID,183.57.192.168-1.1.192.168-0-0-0,318
Flow ID,192.168.1.195-192.168.1.1-50841-49152-6,316
Flow ID,182.178.192.168-1.152.192.168-0-0-0,315
Flow ID,192.168.1.195-192.168.1.1-50886-41952-6,312
Flow ID,183.74.192.168-1.1.192.168-0-0-0,310
Flow ID,41.185.201.54-192.168.1.195-0-0-0,304
Flow ID,183.70.192.168-1.1.192.168-0-0-0,303
Flow ID,41.91.115.91-192.168.1.30-0-0-0,301
Flow ID,192.168.1.195-192.168.1.1-49754-41952-6,297
Flow ID,182.159.192.168-1.194.192.168-0-0-0,293
Flow ID,38.81.192.168-1.43.192.168-0-0-0,291
Flow ID,182.179.192.168-1.152.192.168-0-0-0,279
Flow ID,182.175.192.168-1.1.192.168-0-0-0,278
Flow ID,192.168.1.193-239.255.255.250-50511-1900-17,274
Flow ID,192.168.1.195-192.168.1.1-49757-41952-6,262
Flow ID,192.168.1.195-40.90.190.179-57154-443-6,261
Flow ID,181.97.192.168-1.1.192.168-0-0-0,257
Flow ID,192.168.1.193-192.168.1.255-138-138-17,253
Flow ID,192.168.1.133-224.0.0.251-5353-5353-17,252
Flow ID,245.252.192.168-1.193.192.168-0-0-0,251
Flow ID,246.78.192.168-1.152.192.168-0-0-0,251
Flow ID,246.14.192.168-1.184.192.168-0-0-0,251
Flow ID,245.248.192.168-1.195.192.168-0-0-0,250
Flow ID,245.250.192.168-1.194.192.168-0-0-0,250
Flow ID,246.2.192.168-1.190.192.168-0-0-0,249
Flow ID,207.71.192.168-1.30.176.28-0-0-0,246
Flow ID,239.162.192.168-1.30.192.168-0-0-0,245
Flow ID,239.158.192.168-1.30.192.168-0-0-0,245
Flow ID,44.62.192.168-1.39.176.28-0-0-0,245
Flow ID,239.168.192.168-1.30.192.168-0-0-0,244
Flow ID,239.159.192.168-1.30.192.168-0-0-0,244
Flow ID,76.148.192.168-1.39.192.168-0-0-0,244
Flow ID,76.150.192.168-1.39.192.168-0-0-0,244
Flow ID,239.200.192.168-1.30.192.168-0-0-0,243
Flow ID,76.191.192.168-1.39.192.168-0-0-0,243
Flow ID,76.159.192.168-1.39.192.168-0-0-0,242
Flow ID,76.149.192.168-1.39.192.168-0-0-0,242
Flow ID,76.153.192.168-1.39.192.168-0-0-0,241
Flow ID,239.157.192.168-1.30.192.168-0-0-0,240
Src IP,192.168.1.35,1303270
Src IP,192.168.1.39,829830
Src IP,192.168.1.195,434918
Src IP,176.28.50.165,425867
Src IP,192.168.1.190,423516
Src IP,192.168.1.32,372659
Src IP,192.168.1.36,333588
Src IP,192.168.1.152,290994
Src IP,52.28.231.150,132755
Src IP,18.194.169.124,132150
Src IP,192.168.1.193,64379
Src IP,192.168.1.79,23522
Src IP,192.168.1.180,19974
Src IP,192.168.1.1,18272
Src IP,192.168.1.33,3018
Src IP,192.168.1.37,2485
Src IP,177.30.87.144,1812
Src IP,8.6.0.1,1114
Src IP,41.184.177.116,1088
Src IP,192.168.1.6,1012
Src IP,192.168.1.169,1005
Src IP,244.15.103.115,746
Src IP,192.0.32.59,723
Src IP,192.168.1.31,704
Src IP,41.24.115.254,696
Src IP,192.168.1.184,646
