split,bin,count,prob_mean,positive_rate,prob_min,prob_max
val,0,10517,0.038924063534323115,0.035751640201578394,0.0,0.462
val,1,3500,0.7009750346623498,0.7291428571428571,0.46200000000000013,0.8973333333333333
val,2,4121,0.971297138747111,0.9801019170104344,0.898,0.998
val,3,16905,0.999999861973775,0.9982845312037859,0.9986666666666666,1.0
test,0,24737,0.04636133590305074,0.014512673323361766,0.0,0.422
test,1,8232,0.5445444666262633,0.21780855199222546,0.423,0.658
test,2,8223,0.7808515469279779,0.42113583850176334,0.66,0.894
test,3,8999,0.9568249545481853,0.8847649738859873,0.895,0.988
test,4,9724,0.9936894620085797,0.9923899629781983,0.9887999999999999,0.996
test,5,22417,0.9997079227454478,0.9860819913458536,0.9964000000000001,1.0
