threshold,val_accuracy,val_precision,val_recall,val_f1,val_fpr,val_fnr,val_tn,val_fp,val_fn,val_tp,test_accuracy,test_precision,test_recall,test_f1,test_fpr,test_fnr,test_tn,test_fp,test_fn,test_tp
0.01,0.9354221955882772,0.9133149467555352,1.0,0.9546937876634167,0.20205357142857142,0.0,8937,2263,0,23843,0.8093207987173882,0.7427700676705281,1.0,0.8524016810356985,0.4242972972972973,0.0,21301,15699,0,45332
0.02,0.9361641411979568,0.9142254601226993,1.0,0.9551909941309616,0.19973214285714286,0.0,8963,2237,0,23843,0.809575863576738,0.7430416680326525,0.9999558810553252,0.8525644642554873,0.42367567567567566,4.4118944674843376e-05,21324,15676,2,45330
0.03,0.9368490140684302,0.915067546822229,1.0,0.9556504138359486,0.19758928571428572,0.0,8987,2213,0,23843,0.810085993295438,0.743553572600223,0.9999558810553252,0.8529013321291488,0.4225405405405405,4.4118944674843376e-05,21366,15634,2,45330
0.04,0.9379619324829496,0.9164392512587923,1.0,0.956397914159647,0.19410714285714287,0.0,9026,2174,0,23843,0.8104746635573046,0.7439761013722014,0.9998676431659754,0.8531471163981328,0.4215675675675676,0.00013235683402453013,21402,15598,6,45326
0.05,0.9390177781582627,0.9178087465352633,0.9999161179381789,0.9571047190830807,0.190625,8.388206182107957e-05,9065,2135,2,23841,0.8109969392216878,0.7445256673511293,0.9998014647489633,0.853484233619253,0.4203243243243243,0.0001985352510367952,21448,15552,9,45323
0.06,0.9396741146591331,0.9187512044709963,0.9997483538145367,0.9575399694705552,0.18821428571428572,0.0002516461854632387,9092,2108,6,23837,0.8113734635378711,0.7449452608738535,0.9996911673872761,0.8537196465911874,0.4193513513513514,0.00030883261272390367,21484,15516,14,45318
0.07,0.9404160602688126,0.9197376037044183,0.9996644717527157,0.9580368985891716,0.18571428571428572,0.00033552824728431827,9120,2080,8,23835,0.811701404071321,0.7453244510239329,0.9995588105532516,0.8539203030331584,0.41845945945945945,0.0004411894467484338,21517,15483,20,45312
0.08,0.9415004423137289,0.9211533258609361,0.9995805896908946,0.9587657896854132,0.18214285714285713,0.0004194103091053978,9160,2040,10,23833,0.8119686148763543,0.7457074656350317,0.9992499779405276,0.8540588440472487,0.4174864864864865,0.0007500220594723375,21553,15447,34,45298
0.09,0.9420140969665839,0.9218925296916709,0.999454766598163,0.9591081059325445,0.18026785714285715,0.0005452334018370171,9181,2019,13,23830,0.8124301608123209,0.7461904683458808,0.9992058589958528,0.8543594096288961,0.4164054054054054,0.0007941410041471808,21593,15407,36,45296
0.1,0.9428701880546757,0.9230292465620763,0.9993708845363419,0.9596842402029885,0.17741071428571428,0.0006291154636580967,9213,1987,15,23828,0.8129524364767041,0.7467845128949278,0.9990293832171534,0.854684079414207,0.41502702702702704,0.0009706167828465543,21644,15356,44,45288
0.11,0.9440972519476072,0.9246022506790842,0.9993289435054313,0.9605143813113498,0.17348214285714286,0.0006710564945686365,9257,1943,16,23827,0.8138269445659039,0.7477049072056007,0.9989411453278038,0.8552542116793835,0.412972972972973,0.001058854672196241,21720,15280,48,45284
0.12,0.9449818794053021,0.925848198670864,0.9991611793817892,0.961108645661032,0.17035714285714285,0.0008388206182107956,9292,1908,20,23823,0.8147257445464704,0.7486771611879093,0.9987867290214418,0.8558332073189173,0.4107837837837838,0.0012132709785581928,21801,15199,55,45277
