split,bin,count,prob_mean,positive_rate,prob_min,prob_max
val,0,3505,2.4713348e-05,0.0,4.529522e-06,4.4825625e-05
val,1,3504,7.4446754e-05,0.0,4.4834003e-05,0.00013553927
val,2,3504,0.14100015,0.10473744292237443,0.00013560611,0.45866823
val,3,3504,0.6969507,0.7277397260273972,0.45872536,0.8942728
val,4,3510,0.9676902,0.9732193732193732,0.8942889,0.9927522
val,5,3499,0.99602336,0.9982852243498143,0.9927659,0.9981944
val,6,3520,0.9990146,1.0,0.9981958,0.99955624
val,7,3490,0.9998243,1.0,0.99955636,0.999936
val,8,3517,0.99995303,1.0,0.9999361,0.99996305
val,9,3490,0.99997026,1.0,0.99996316,0.9999887
test,0,8234,2.5874737e-05,0.0,4.6984132e-06,4.68497e-05
test,1,8276,9.8223274e-05,0.0,4.6850942e-05,0.00023571428
test,2,8190,0.12204632,0.027716727716727715,0.00023571607,0.3759677
test,3,8233,0.5267499,0.1723551560791935,0.3759886,0.6789543
test,4,8233,0.8039522,0.4047127414065347,0.6790607,0.9189569
test,5,8259,0.97524345,0.90301489284417,0.91897464,0.99475807
test,6,8207,0.9973065,0.9986596807603265,0.99475986,0.99890053
test,7,8238,0.99951905,1.0,0.99890065,0.99979585
test,8,8240,0.9998932,1.0,0.99979633,0.99995255
test,9,8222,0.9999703,1.0,0.9999527,0.9999889
