split,bin,count,prob_mean,positive_rate,prob_min,prob_max
val,0,3505,2.1828877e-05,0.0,5.5798077e-06,3.2542142e-05
val,1,3504,5.0672472e-05,0.0,3.2550524e-05,8.2226354e-05
val,2,3504,0.12761755,0.09788812785388128,8.2241255e-05,0.43989012
val,3,3504,0.7053755,0.7271689497716894,0.4399034,0.9101101
val,4,3506,0.9738358,0.9803194523673702,0.91018885,0.9949522
val,5,3503,0.9971046,0.9985726520125606,0.99495405,0.9985739
val,6,3506,0.99929154,1.0,0.9985746,0.99967396
val,7,3508,0.9998733,1.0,0.99967444,0.9999497
val,8,3518,0.99996185,1.0,0.9999498,0.99996984
val,9,3485,0.9999757,1.0,0.99996996,0.99998987
test,0,8234,2.360984e-05,0.0,6.0640514e-06,3.643546e-05
test,1,8233,6.756103e-05,0.0,3.6438312e-05,0.00017631339
test,2,8233,0.11248487,0.030244139438843676,0.00017685049,0.36328408
test,3,8233,0.5335565,0.16288108830317016,0.36330134,0.6939128
test,4,8233,0.822603,0.40847807603546704,0.6939648,0.9332159
test,5,8233,0.9801449,0.9064739463136159,0.93324643,0.9961433
test,6,8237,0.9980369,0.9979361417991988,0.996148,0.9992586
test,7,8241,0.9996894,1.0,0.99925905,0.99988675
test,8,8246,0.9999377,1.0,0.9998871,0.9999633
test,9,8209,0.9999741,1.0,0.9999634,0.99998975
