split,bin,count,prob_mean,positive_rate,prob_min,prob_max
val,0,3505,1.263693e-05,0.0,1.4860636e-06,2.5684669e-05
val,1,3504,4.8985865e-05,0.0,2.5699346e-05,9.862964e-05
val,2,3504,0.12886669,0.10159817351598173,9.863548e-05,0.44026524
val,3,3504,0.7061698,0.72574200913242,0.44030333,0.90935636
val,4,3505,0.97344583,0.9783166904422254,0.90935946,0.9944307
val,5,3504,0.9970494,0.9982876712328768,0.9944317,0.998662
val,6,3504,0.9993162,1.0,0.9986632,0.99973804
val,7,3517,0.9998841,1.0,0.99973875,0.9999552
val,8,3531,0.99996585,1.0,0.9999553,0.99997437
val,9,3465,0.99998003,1.0,0.9999745,0.99999225
test,0,8234,1.4098759e-05,0.0,1.5914698e-06,2.8540086e-05
test,1,8233,6.464341e-05,0.0,2.8548551e-05,0.00015503913
test,2,8233,0.11065256,0.03109437629053808,0.00015505259,0.35957634
test,3,8233,0.53062016,0.16846835904287624,0.3596302,0.6912028
test,4,8233,0.81849134,0.4017976436292967,0.6912687,0.9326288
test,5,8240,0.97985834,0.9064320388349515,0.93266237,0.9956393
test,6,8226,0.99800044,0.9982980792608801,0.99564016,0.9992418
test,7,8239,0.99965614,1.0,0.9992424,0.99986184
test,8,8229,0.9999282,1.0,0.9998622,0.9999641
test,9,8232,0.9999783,1.0,0.99996424,0.99999225
