threshold,val_accuracy,val_precision,val_recall,val_f1,val_fpr,val_fnr,val_tn,val_fp,val_fn,val_tp,test_accuracy,test_precision,test_recall,test_f1,test_fpr,test_fnr,test_tn,test_fp,test_fn,test_tp
0.01,0.9348800045658191,0.9126507177033493,1.0,0.9543307716938841,0.20375,0.0,8918,2282,0,23843,0.8083126852256717,0.7417612985567955,1.0,0.8517370309828458,0.4265405405405405,0.0,21218,15782,0,45332
0.02,0.9351368318922467,0.9129652320416602,1.0,0.9545026922076102,0.20294642857142858,0.0,8927,2273,0,23843,0.8088106689986883,0.7422592635043309,1.0,0.8520652224989427,0.42543243243243245,0.0,21259,15741,0,45332
0.03,0.9355648774362926,0.9134899046013563,1.0,0.9547893640877783,0.20160714285714285,0.0,8942,2258,0,23843,0.8092236311519215,0.7426727174429463,1.0,0.8523375732107435,0.4245135135135135,0.0,21293,15707,0,45332
0.04,0.935764632023514,0.9137349582279451,1.0,0.9549232032360775,0.20098214285714286,0.0,8949,2251,0,23843,0.8094908419569548,0.7429404919940344,1.0,0.8525138929374042,0.4239189189189189,0.0,21315,15685,0,45332
0.05,0.9360499957195446,0.9141170155662909,0.9999580589690895,0.9551126690035052,0.2,4.1941030910539784e-05,8960,2240,1,23842,0.809575863576738,0.7430257334863137,1.0,0.8525700099678396,0.4237297297297297,0.0,21322,15678,0,45332
0.06,0.9363068230459721,0.9144325547501246,0.9999580589690895,0.9552848785960414,0.19919642857142858,4.1941030910539784e-05,8969,2231,1,23842,0.809612301413788,0.7430782092683966,0.9999558810553252,0.852588517421357,0.4235945945945946,4.4118944674843376e-05,21327,15673,2,45330
0.07,0.9366777958508119,0.914888718342287,0.9999580589690895,0.9555337354467667,0.1980357142857143,4.1941030910539784e-05,8982,2218,1,23842,0.809685177087888,0.7431513025230749,0.9999558810553252,0.8526366278249584,0.42343243243243245,4.4118944674843376e-05,21333,15667,2,45330
0.08,0.9369346231772394,0.9152047906030478,0.9999580589690895,0.955706096925482,0.19723214285714286,4.1941030910539784e-05,8991,2209,1,23842,0.8097944905990381,0.7432609693710238,0.9999558810553252,0.8527088036117382,0.4231891891891892,4.4118944674843376e-05,21342,15658,2,45330
0.09,0.9373341323516822,0.9156968928832047,0.9999580589690895,0.9559743384121893,0.19598214285714285,4.1941030910539784e-05,9005,2195,1,23842,0.8099888257299713,0.7434639986878793,0.9999338215829877,0.8528343775281745,0.4227297297297297,6.617841701226507e-05,21359,15641,3,45329
0.1,0.9379904688525526,0.9165064965018836,0.9999580589690895,0.9564153478949796,0.19392857142857142,4.1941030910539784e-05,9028,2172,1,23842,0.8101467230238546,0.7436225536033597,0.9999338215829877,0.8529386860352436,0.4223783783783784,6.617841701226507e-05,21372,15628,3,45329
0.11,0.9384755871358046,0.9171058199022964,0.9999580589690895,0.9567415730337079,0.1924107142857143,4.1941030910539784e-05,9045,2155,1,23842,0.8103532041004713,0.7438460023631351,0.9998897026383129,0.8530695976211089,0.42186486486486485,0.00011029736168710845,21391,15609,5,45327
0.12,0.9390748508974688,0.9178472436094857,0.9999580589690895,0.9571448644091611,0.19053571428571428,4.1941030910539784e-05,9066,2134,1,23842,0.8106811446339212,0.7442318745381394,0.999735286331951,0.8532670601636119,0.4209459459459459,0.00026471366804906027,21425,15575,12,45320
0.13,0.9393031418542933,0.9182266389338264,0.9998322358763578,0.9572934444332898,0.18955357142857143,0.00016776412364215913,9077,2123,4,23839,0.8110090851673711,0.7445861128454536,0.9996691079149387,0.8534757142588093,0.4201351351351351,0.00033089208506132534,21455,15545,15,45317
0.14,0.9397026510287361,0.9187220595036226,0.9998322358763578,0.957562611716977,0.18830357142857143,0.00016776412364215913,9091,2109,4,23839,0.8113734635378711,0.7450016441959881,0.9995367510809141,0.8537003542090587,0.4191621621621622,0.00046324891908585547,21491,15509,21,45311
0.15,0.9402733784207973,0.9195278142118664,0.9997064127836263,0.9579423289460465,0.18625,0.0002935872163737785,9114,2086,7,23836,0.8117256959626876,0.7453812618244633,0.9994705726639019,0.8539253842456911,0.4182972972972973,0.0005294273360981205,21523,15477,24,45308
0.16,0.9408726421824616,0.9203058033128693,0.9996644717527157,0.9583450605122432,0.18428571428571427,0.00033552824728431827,9136,2064,8,23835,0.8120293446047709,0.7457203055043455,0.9993823347745522,0.854115606500509,0.4175135135135135,0.0006176652254478073,21552,15448,28,45304
0.17,0.9413862968353166,0.9210434782608695,0.9995386486599841,0.958686994649825,0.1824107142857143,0.0004613513400159376,9157,2043,11,23832,0.8126973716173541,0.7464285125805336,0.9992940968852025,0.8545476839494063,0.4159189189189189,0.000705903114797494,21611,15389,32,45300
0.18,0.9417572696401564,0.92153905645785,0.9994967076290735,0.9589360803170834,0.18116071428571429,0.0005032923709264774,9171,2029,12,23831,0.813353252684254,0.7471340206185567,0.9991837995235154,0.8549694687467557,0.4143243243243243,0.0008162004764846025,21670,15330,37,45295
0.19,0.9426704334674543,0.9228445270741343,0.9992870024745208,0.9595457199814744,0.17785714285714285,0.0007129975254791763,9208,1992,17,23826,0.8143249283389205,0.7481458233535407,0.9991176211065032,0.855607295671147,0.4120810810810811,0.0008823788934968676,21753,15247,40,45292
0.2,0.9432696972291185,0.9237600341257223,0.9990772973199681,0.9599435825105783,0.1755357142857143,0.0009227026800318752,9234,1966,22,23821,0.8155152310158869,0.7493918885377194,0.9990293832171534,0.8563891646574954,0.4093243243243243,0.0009706167828465543,21855,15145,44,45288
0.21,0.9442970065348286,0.9253157178939188,0.9987417690726839,0.9606276977691718,0.17160714285714285,0.0012582309273161934,9278,1922,30,23813,0.8165719282903366,0.7505802387267905,0.998742610076767,0.8570590239654715,0.40662162162162163,0.0012573899232330363,21955,15045,57,45275
0.22,0.9452672431013327,0.9268387649417903,0.9983642997944889,0.9612728667770464,0.16776785714285714,0.0016357002055110515,9321,1879,39,23804,0.8177743769129865,0.7518643392183892,0.9986102532427424,0.8578467135994542,0.40378378378378377,0.0013897467572575664,22060,14940,63,45269
0.23,0.9460662614502183,0.928083928083928,0.9980707125781152,0.9618058362298925,0.16464285714285715,0.0019292874218848298,9356,1844,46,23797,0.8192075985036195,0.753425113615555,0.9983896585193682,0.8587801106230373,0.4003243243243243,0.0016103414806317832,22188,14812,73,45259
0.24,0.9468367434295009,0.9293304164387843,0.9977351843308309,0.9623187233267936,0.16151785714285713,0.0022648156691691484,9391,1809,54,23789,0.8205193606374193,0.7548756277005723,0.9981470043236566,0.8596316244431146,0.3971081081081081,0.0018529956763434219,22307,14693,84,45248
0.25,0.9475501526695774,0.9305419683036588,0.997357715052636,0.9627920158710879,0.15848214285714285,0.002642284947364006,9425,1775,63,23780,0.822049749793519,0.7565515511330378,0.9979264096002823,0.8606352316721679,0.3934324324324324,0.002073590399717639,22443,14557,94,45238
0.26,0.9480638073224325,0.931637332915213,0.9968124816507989,0.9631235563480164,0.15571428571428572,0.0031875183492010234,9456,1744,76,23767,0.8237258902978186,0.7584662607557994,0.9975072796258714,0.8617164200436395,0.3891891891891892,0.0024927203741286507,22600,14400,113,45219
0.27,0.9491767257369518,0.9334381139489194,0.996351130310783,0.9638691092041466,0.15125,0.0036488696892169607,9506,1694,87,23756,0.8254749064762182,0.7604164914464498,0.9972205064854849,0.8628663593590441,0.38494594594594594,0.002779493514515133,22757,14243,126,45206
0.28,0.9499186713466313,0.9347004644572149,0.9959736610325882,0.964364758675303,0.148125,0.004026338967411819,9541,1659,96,23747,0.8273089442744012,0.7624148168139802,0.997066090179123,0.8640934465091382,0.3806756756756757,0.002933909820877085,22915,14085,133,45199
0.29,0.9505179351082955,0.9359889568132518,0.99534454556893,0.9647546648237734,0.14491071428571428,0.004655454431069916,9577,1623,111,23732,0.8293130253121508,0.764623272025854,0.9968675549280861,0.8654352551396589,0.375972972972973,0.00313244507191388,23089,13911,142,45190
0.3,0.9513454898267842,0.9373370209403398,0.9950090173216458,0.9653123919191097,0.14160714285714285,0.004990982678354234,9614,1586,119,23724,0.8312563766214838,0.7668075428144678,0.9966028412600371,0.8667325346046485,0.37132432432432433,0.0033971587399629403,23261,13739,154,45178
0.31,0.9524013355020974,0.9390567457331802,0.9945896070125404,0.9660257454782467,0.13741071428571427,0.005410392987459631,9661,1539,129,23714,0.8333576252247,0.7692399414029231,0.996183711285626,0.8681251081335666,0.3661351351351351,0.003816288714373952,23453,13547,173,45159
0.32,0.9535427902862198,0.9408612820003969,0.9942121377343455,0.9668012561686855,0.13303571428571428,0.00578786226565449,9710,1490,138,23705,0.835446727882233,0.7716674074327328,0.9957866407835525,0.8695174804969662,0.361,0.004213359216447543,23643,13357,191,45141
0.33,0.9540849813086779,0.9422036595067621,0.9934571991779558,0.967151869015781,0.12973214285714285,0.006542800822044206,9747,1453,156,23687,0.8376451440509158,0.7741752869126654,0.9955219271155034,0.8710060313630881,0.3557837837837838,0.004478072884496603,23836,13164,203,45129
0.34,0.9545986359615329,0.9435143107709479,0.9927022606215661,0.9674834964949212,0.12651785714285715,0.0072977393784339215,9783,1417,174,23669,0.8399893115677987,0.7769281113292688,0.9951027971410924,0.8725844826585683,0.35005405405405404,0.004897202858907615,24048,12952,222,45110
0.35,0.9554832634192278,0.9451436333852731,0.9921570272197291,0.9680798821411033,0.12258928571428572,0.007842972780270938,9827,1373,187,23656,0.8423334790846815,0.7797029274956339,0.9946836671666813,0.8741700028110854,0.3443243243243243,0.005316332833318627,24260,12740,241,45091
0.36,0.956025454441686,0.946218487394958,0.9917376169106237,0.9684434706038949,0.12,0.008262383089376336,9856,1344,197,23646,0.8444711655249477,0.7822299349240781,0.99435277508162,0.8756276892294842,0.33916216216216216,0.005647224918379952,24451,12549,256,45076
