feature,importance_gain,importance_split
bwd_packet_length_std,4632818.204898834,157
average_packet_size,3043388.299140811,119
destination_port,1543311.3245891929,1651
bwd_header_length,1087266.1380597353,108
init_win_bytes_backward,745252.6827116609,809
init_win_bytes_forward,621497.0943027735,1610
bwd_packet_length_min,604736.3943288326,138
max_packet_length,563997.0548628569,80
fwd_packet_length_max,542384.9853057265,74
min_seg_size_forward,255692.17236292362,240
packet_length_variance,226324.89796292782,47
total_length_of_fwd_packets,213159.94473862648,154
fwd_iat_min,212076.26725661755,569
fwd_header_length,176846.9285427332,216
packet_length_std,132297.080162704,116
subflow_bwd_packets,115523.2598721981,39
fwd_packet_length_mean,105687.91475749016,67
flow_iat_mean,93766.75981622934,256
flow_iat_min,84455.91024196148,648
packet_length_mean,83674.6477521658,88
total_backward_packets,75480.36041545868,102
bwd_packets_s,74667.32223051786,357
flow_bytes_s,72751.68136358261,389
fwd_packet_length_std,72129.60456335545,106
fwd_header_length.1,64543.926278710365,45
total_length_of_bwd_packets,62691.71759700775,193
psh_flag_count,53514.723017692566,99
active_std,37903.881325125694,48
fwd_iat_std,36041.11243224144,137
urg_flag_count,35373.370315909386,124
bwd_packet_length_mean,31584.534977197647,140
fwd_iat_total,30350.86374747753,177
fwd_packets_s,23770.006009697914,247
fwd_iat_mean,23601.86856919527,164
min_packet_length,23552.5761988163,36
flow_iat_std,23410.196707606316,117
bwd_iat_mean,21917.00703215599,41
total_fwd_packets,21745.748903393745,68
bwd_iat_std,18191.64625388384,101
fwd_iat_max,17761.899574756622,138
avg_bwd_segment_size,14919.608211040497,28
bwd_packet_length_max,14812.441910982132,82
bwd_iat_min,14486.840219140053,115
flow_packets_s,13236.338232159615,196
act_data_pkt_fwd,12660.265205323696,61
flow_duration,10922.394114613533,236
idle_mean,8592.905769586563,41
idle_max,8230.69685459137,37
ack_flag_count,7322.114831328392,35
active_min,7282.403690099716,88
flow_iat_max,7033.309916257858,140
fwd_packet_length_min,6758.010966062546,22
down_up_ratio,6552.385137796402,50
subflow_bwd_bytes,4717.002998590469,39
idle_min,3996.882045507431,88
subflow_fwd_packets,3732.8732199668884,20
fin_flag_count,2959.8385356664658,51
bwd_iat_total,2713.066936612129,52
bwd_iat_max,2555.3317004442215,88
avg_fwd_segment_size,1750.2938482761383,18
subflow_fwd_bytes,1692.344452381134,27
active_mean,1507.5561277866364,9
fwd_psh_flags,685.7960958480835,23
idle_std,191.81864988803864,23
active_max,186.29226875305176,22
fwd_urg_flags,125.85770034790039,2
syn_flag_count,50.809938192367554,2
rst_flag_count,0.0,0
bwd_urg_flags,0.0,0
bwd_psh_flags,0.0,0
bwd_avg_bulk_rate,0.0,0
bwd_avg_packets_bulk,0.0,0
bwd_avg_bytes_bulk,0.0,0
fwd_avg_bulk_rate,0.0,0
fwd_avg_packets_bulk,0.0,0
fwd_avg_bytes_bulk,0.0,0
cwe_flag_count,0.0,0
ece_flag_count,0.0,0
