feature,importance_gain,importance_split
min_packet_length,3425586.369491577,107
init_win_bytes_backward,2618924.2375016212,567
destination_port,1468605.6353616714,733
bwd_packet_length_std,1066624.3515591621,111
packet_length_mean,849595.1499166489,35
flow_bytes_s,641358.2814445496,107
fwd_packet_length_min,612193.965888977,36
packet_length_std,576766.1649770737,65
init_win_bytes_forward,503630.52293252945,881
fwd_packet_length_max,396513.161403656,59
average_packet_size,346145.27387189865,61
bwd_header_length,294504.4955163002,45
fwd_iat_min,273596.6836042404,271
min_seg_size_forward,263044.40428829193,154
psh_flag_count,245784.03031539917,86
total_backward_packets,237900.01791667938,64
act_data_pkt_fwd,235599.04747152328,46
flow_iat_min,194954.09904384613,231
fwd_header_length,167630.07575273514,134
bwd_packets_s,159623.703373909,102
bwd_packet_length_min,146936.63214111328,112
fwd_packet_length_std,130140.01807880402,62
active_max,96282.17079114914,22
bwd_packet_length_mean,92380.45719432831,78
subflow_bwd_packets,90915.71288967133,12
total_fwd_packets,84386.16180229187,24
fwd_iat_mean,74158.8305053711,77
max_packet_length,72509.02754306793,26
bwd_packet_length_max,63663.572441101074,56
fwd_iat_total,58085.89403629303,84
fwd_header_length.1,54771.880288124084,47
avg_bwd_segment_size,53256.58005475998,16
ack_flag_count,47503.26421833038,40
urg_flag_count,39138.284766197205,70
bwd_iat_total,29835.155586719513,43
fwd_psh_flags,29620.304681777954,21
flow_iat_mean,27784.38086605072,62
flow_packets_s,26631.85840177536,55
active_min,24398.00352525711,73
active_mean,23396.259184360504,11
total_length_of_fwd_packets,22934.681386470795,44
fwd_iat_max,20787.224064826965,52
bwd_iat_min,20291.72387123108,49
bwd_iat_std,19897.831993579865,28
flow_duration,19178.184193134308,97
fwd_packets_s,18611.178281784058,46
active_std,18366.116245269775,19
bwd_iat_mean,16793.606282234192,17
total_length_of_bwd_packets,16649.115294456482,46
syn_flag_count,15767.28305721283,8
idle_max,14302.746153831482,47
flow_iat_std,11844.324511528015,46
down_up_ratio,11373.35052728653,36
idle_mean,10584.701817035675,18
fin_flag_count,8632.77556180954,35
packet_length_variance,7488.793342590332,6
bwd_iat_max,7050.680861949921,29
flow_iat_max,6882.715005397797,44
fwd_iat_std,4758.138143062592,38
subflow_fwd_bytes,4078.489942073822,11
avg_fwd_segment_size,3503.2054290771484,12
idle_min,3293.678253173828,74
fwd_packet_length_mean,2381.598837375641,30
subflow_bwd_bytes,835.9872055053711,9
idle_std,172.89000511169434,3
fwd_urg_flags,0.0,0
rst_flag_count,0.0,0
bwd_urg_flags,0.0,0
bwd_psh_flags,0.0,0
ece_flag_count,0.0,0
bwd_avg_bulk_rate,0.0,0
bwd_avg_packets_bulk,0.0,0
bwd_avg_bytes_bulk,0.0,0
fwd_avg_bulk_rate,0.0,0
fwd_avg_packets_bulk,0.0,0
fwd_avg_bytes_bulk,0.0,0
cwe_flag_count,0.0,0
subflow_fwd_packets,0.0,0
