feature,train_non_null,test_non_null,train_missing_ratio,test_missing_ratio,train_mean,test_mean,mean_diff,train_median,test_median,train_std,test_std,abs_smd
packet_length_variance,2639710,191033,0.0,0.0,515905.3299748096,75059.39725561488,-440845.93271919474,626.7,974.7,1700567.3453479887,278266.031180856,0.3618014604301162
bwd_packet_length_std,2639710,191033,0.0,0.0,350.8763546119059,120.44575699973444,-230.43059761217148,0.0,0.0,864.3805267834318,272.50227470635093,0.3595628697007844
packet_length_std,2639710,191033,0.0,0.0,306.83560656522195,131.09236024571786,-175.7432463195041,25.03397691,31.22018578,649.4507509163358,240.572600609463,0.35886097473423667
max_packet_length,2639710,191033,0.0,0.0,987.3034106019222,440.5018033533473,-546.8016072485749,86.0,100.0,2081.021886788485,915.001872037687,0.34016415539253764
bwd_packet_length_max,2639710,191033,0.0,0.0,905.1932814589481,396.28357927687887,-508.9097021820693,79.0,97.0,1999.8270261687458,794.8246813105219,0.33443813025544805
bwd_packet_length_mean,2639710,191033,0.0,0.0,316.0343945229911,166.59234252750394,-149.44205199548713,71.0,89.0,621.16590460854,275.50301105526484,0.31101751202513034
avg_bwd_segment_size,2639710,191033,0.0,0.0,316.03439452299943,166.59234252753012,-149.4420519954693,71.0,89.0,621.1659046085566,275.5030110553876,0.31101751202506356
fwd_iat_std,2639710,191033,0.0,0.0,3419680.566507673,1156613.252180873,-2263067.3143268,0.0,0.0,9901329.12420476,4161604.496261711,0.2979845513353306
packet_length_mean,2639710,191033,0.0,0.0,176.83453801798962,104.37191864843227,-72.46261936955734,56.8,62.15384615,312.7923076488184,161.41237523977122,0.2911425439628028
average_packet_size,2639710,191033,0.0,0.0,197.19470941831676,119.97690685379652,-77.21780256452024,72.0,79.25,340.09611904414777,167.6332309718426,0.28800759011314736
bwd_packet_length_min,2639710,191033,0.0,0.0,39.69425618723269,59.77754628781415,20.083290100581458,0.0,43.0,67.70127489857383,80.97812761306773,0.26908490525942386
min_packet_length,2639710,191033,0.0,0.0,15.948817862568237,23.145765391319824,7.196947528751586,2.0,23.0,24.909364443534002,28.568799238413824,0.268526674473299
idle_max,2639710,191033,0.0,0.0,9032092.977144081,4048163.968555171,-4983929.00858891,0.0,0.0,24907035.256707482,14241232.734288435,0.24566385153764553
fwd_iat_max,2639710,191033,0.0,0.0,9374930.49588629,4455446.155889297,-4919484.339996994,47.0,4.0,25060126.36002799,14672336.744938513,0.23957791163617412
flow_iat_max,2639710,191033,0.0,0.0,9513959.293026129,4602001.96311632,-4911957.329909809,30870.0,30797.0,24984677.537063133,14730376.387782192,0.2395053830573718
idle_mean,2639710,191033,0.0,0.0,8634387.2494857,3917041.055064366,-4717346.194421333,0.0,0.0,24152448.828360133,13882666.767670024,0.2394762877254128
idle_min,2639710,191033,0.0,0.0,8222118.977218331,3745754.236775845,-4476364.7404424865,0.0,0.0,23883201.69204287,13704767.701436028,0.22990084128022995
flow_iat_std,2639710,191033,0.0,0.0,3008026.6534396294,1692836.7403423586,-1315189.9130972708,139.1414149,121.5414881,8145727.814427558,6386025.855412219,0.17969640379452279
psh_flag_count,2639710,191033,0.0,0.0,0.3032374768440473,0.22667287850790177,-0.07656459833614551,0.0,0.0,0.459657034670565,0.41868031033685027,0.1741504319047696
fin_flag_count,2639710,191033,0.0,0.0,0.037002928351978055,0.01295064203566923,-0.024052286316308825,0.0,0.0,0.18876897293904646,0.1130618849198094,0.15458726124637026
bwd_iat_std,2639710,191033,0.0,0.0,1532003.7198751096,849921.8029125305,-682081.9169625791,0.0,0.0,6425143.126569973,3638436.1688506072,0.13063841241736104
ack_flag_count,2639710,191033,0.0,0.0,0.3197661864371465,0.2616511283390828,-0.05811505809806372,0.0,0.0,0.46638595052811305,0.4395347843726795,0.12824421692713248
fwd_packet_length_min,2639710,191033,0.0,0.0,18.33849627421194,23.897645956457787,5.559149682245845,2.0,23.0,61.44203188107494,41.90994230883009,0.10570591621753851
flow_duration,2639710,191033,0.0,0.0,15012951.501967262,11644985.209822387,-3367966.292144876,31334.0,31121.0,33846149.20614955,30700844.39557062,0.10423335253318668
fwd_iat_total,2639710,191033,0.0,0.0,14708809.649893738,11362176.311961807,-3346633.337931931,47.0,4.0,33771783.01693169,30569954.61114501,0.10389826068472227
idle_std,2639710,191033,0.0,0.0,527637.1597432067,175067.38094662174,-352569.7787965849,0.0,0.0,4729949.1002762765,2167443.0146718826,0.09583278877213933
fwd_packet_length_std,2639710,191033,0.0,0.0,70.26459851008627,50.19402315996176,-20.070575350124514,0.0,0.0,287.91970505881613,160.4545322145733,0.0861138723651177
flow_iat_mean,2639710,191033,0.0,0.0,1322747.835175688,962681.3426056169,-360066.492570071,11262.045455,13610.0,4526871.359627802,4223483.614772496,0.08224815302373963
flow_packets_s,2636965,190911,0.0010398869572793982,0.0006386331157444002,72148.00550556852,52983.95502731158,-19164.05047825694,110.7440152,98.12579727,256921.83311338405,216061.72744261098,0.08073404775428186
destination_port,2639710,191033,0.0,0.0,8166.67750321058,6756.069987907848,-1410.6075153027314,80.0,80.0,18389.46834811745,16697.438823188615,0.08031315752527111
fwd_packets_s,2639710,191033,0.0,0.0,65052.24805466443,47464.64005891072,-17587.607995753708,61.6256855858,56.84159668,250008.9133129151,209744.07458293223,0.07621720520140636
bwd_iat_max,2639710,191033,0.0,0.0,4755558.371815085,3705460.878073422,-1050097.4937416636,3.0,3.0,17388764.10261802,13590806.861917196,0.0672891203374015
init_win_bytes_forward,2639710,191033,0.0,0.0,7051.467905944213,6138.222589814325,-913.2453161298881,252.0,-1.0,14373.969774640022,13814.454062164146,0.06478300955834032
fwd_packet_length_max,2639710,191033,0.0,0.0,209.97973110682614,174.71580302879607,-35.26392807803006,37.0,42.0,727.4917530196128,554.4752226461419,0.054521044617447605
bwd_iat_min,2639710,191033,0.0,0.0,933436.7325774422,1434653.0551789482,501216.322601506,1.0,3.0,8158279.558169717,10153691.485421568,0.054419795119238154
fwd_iat_mean,2639710,191033,0.0,0.0,2644855.948603278,2131217.079858261,-513638.86874501687,46.0,4.0,9464840.279186752,10318440.448513215,0.05187829245333157
fwd_iat_min,2639710,191033,0.0,0.0,994420.3568736718,1401510.878832453,407090.5219587812,3.0,3.0,8472753.01067221,10081846.300366001,0.04371620098326903
fwd_packet_length_mean,2639710,191033,0.0,0.0,58.65963730760647,51.877418444219764,-6.782218863386703,34.0,38.11235955,190.10984380855254,117.0318447569909,0.04296408829663921
avg_fwd_segment_size,2639710,191033,0.0,0.0,58.65963730760647,51.877418444219764,-6.782218863386703,34.0,38.11235955,190.10984380855254,117.0318447569909,0.04296408829663921
bwd_packets_s,2639710,191033,0.0,0.0,7098.323731969933,5570.105272464084,-1528.2184595058488,19.09927805,28.03790725,38457.067538710886,33617.25560319781,0.04231145044228475
active_std,2639710,191033,0.0,0.0,40215.39314068104,53829.1169329272,13613.723792246165,0.0,0.0,385162.40820671985,492948.74101570674,0.030775851147267046
bwd_iat_mean,2639710,191033,0.0,0.0,1787619.4882783748,2056779.297899879,269159.8096215043,3.0,3.0,8768363.049262032,10387816.511496495,0.028001731926792037
active_max,2639710,191033,0.0,0.0,150988.54357713537,183499.08884852356,32510.545271388197,0.0,0.0,999835.4192923992,1333719.3603709403,0.027582635147069268
syn_flag_count,2639710,191033,0.0,0.0,0.0461194600922071,0.05096501651547115,0.00484555642326405,0.0,0.0,0.20974382507872866,0.21992688966575122,0.02254841214366776
fwd_psh_flags,2639710,191033,0.0,0.0,0.0461194600922071,0.05096501651547115,0.00484555642326405,0.0,0.0,0.20974382507872866,0.21992688966575122,0.02254841214366776
bwd_iat_total,2639710,191033,0.0,0.0,9856151.052533802,10414486.041432632,558334.9888988305,3.0,3.0,28672426.624553435,29604489.039599974,0.019158995831928195
flow_iat_min,2639710,191033,0.0,0.0,165702.17290270524,116467.44296011684,-49234.7299425884,4.0,4.0,2988203.0816784836,2364353.5787112806,0.018273020692102578
init_win_bytes_backward,2639710,191033,0.0,0.0,1978.885193070451,2135.183135897986,156.29794282753528,-1.0,-1.0,8396.997225818996,9243.552825703773,0.017699933226334813
urg_flag_count,2639710,191033,0.0,0.0,0.09448916737065814,0.09943831694000513,0.004949149569346986,0.0,0.0,0.29250811447426034,0.29925040824624466,0.01672583722120574
fwd_urg_flags,2639710,191033,0.0,0.0,0.00011933129017960306,0.0,-0.00011933129017960306,0.0,0.0,0.010923236490327481,0.0,0.015449626961469778
cwe_flag_count,2639710,191033,0.0,0.0,0.00011933129017960306,0.0,-0.00011933129017960306,0.0,0.0,0.010923236490327481,0.0,0.015449626961469778
down_up_ratio,2639710,191033,0.0,0.0,0.682905319144906,0.6917234195139059,0.008818100368999882,1.0,1.0,0.691050109366455,0.512737602199295,0.014492460882354423
flow_bytes_s,2636965,190911,0.0010398869572793982,0.0006386331157444002,1471493.9473762638,1771079.2141486963,299585.2667724325,4481.817909,5712.358927,26031617.42628485,24640500.65526692,0.01182000854266549
active_mean,2639710,191033,0.0,0.0,81232.07363431792,85962.70803022575,4730.634395907837,0.0,0.0,629749.0462534747,868132.0421086955,0.006237932868213389
act_data_pkt_fwd,2639710,191033,0.0,0.0,5.063210731481868,10.32373464270571,5.260523911223843,1.0,1.0,595.95512799309,1046.0381210429393,0.006179539620147855
subflow_fwd_bytes,2639710,191033,0.0,0.0,545.6260949119411,599.9468364104631,54.32074149852201,60.0,70.0,10112.638011087036,7924.198182420694,0.005979459364320949
total_length_of_fwd_packets,2639710,191033,0.0,0.0,545.6373317523515,599.9468364104631,54.309504658111564,60.0,70.0,10126.944878197757,7924.198182420694,0.005972985482548723
total_backward_packets,2639710,191033,0.0,0.0,9.958113201828988,16.413713860955962,6.455600659126974,2.0,2.0,953.0479059456145,1479.792387146192,0.005186864862263032
subflow_bwd_packets,2639710,191033,0.0,0.0,9.958113201828988,16.413713860955962,6.455600659126974,2.0,2.0,953.0479059456145,1479.792387146192,0.005186864862263032
total_fwd_packets,2639710,191033,0.0,0.0,9.038004553530502,13.826548292703356,4.788543739172853,2.0,2.0,717.9629316312238,1097.7555329347097,0.005162812161413792
subflow_fwd_packets,2639710,191033,0.0,0.0,9.038004553530502,13.826548292703356,4.788543739172853,2.0,2.0,717.9629316312238,1097.7555329347097,0.005162812161413792
subflow_bwd_bytes,2639710,191033,0.0,0.0,15277.338181466903,28390.81312652788,13113.474945060976,122.0,152.0,2167184.567622108,3315178.231405692,0.004682324584739677
total_length_of_bwd_packets,2639710,191033,0.0,0.0,15278.07677169083,28385.646537509227,13107.569765818396,122.0,152.0,2167289.902046426,3314537.9019425223,0.004680781337438367
active_min,2639710,191033,0.0,0.0,58469.42411704316,55896.91034009831,-2572.5137769448556,0.0,0.0,561267.8761977977,762856.1390785383,0.003841346447549388
min_seg_size_forward,2639710,191033,0.0,0.0,-2941.952486826204,25.585406709835475,2967.5378935360395,24.0,20.0,1123563.194790013,6.380665323491052,0.0037351991906529325
bwd_header_length,2639710,191033,0.0,0.0,-2464.777506241216,372.91794087932453,2837.695447120541,40.0,40.0,1503817.1100018856,29748.920761907477,0.0026680919837545236
fwd_header_length,2639710,191033,0.0,0.0,-27902.278911319805,324.4953018588411,28226.774213178647,64.0,64.0,21801337.293229114,23150.829062718873,0.0018310190733103265
fwd_header_length.1,2639710,191033,0.0,0.0,-27902.278911319805,324.4953018588411,28226.774213178647,64.0,64.0,21801337.293229114,23150.829062718873,0.0018310190733103265
rst_flag_count,2639710,191033,0.0,0.0,0.0002416932163002754,0.0002512654881617312,9.572271861455828e-06,0.0,0.0,0.01554460974833056,0.015849405944433684,0.0006097863266694532
ece_flag_count,2639710,191033,0.0,0.0,0.0002428297047781764,0.0002512654881617312,8.435783383554826e-06,0.0,0.0,0.015581104918503189,0.015849405944433684,0.0005367698975248007
bwd_psh_flags,2639710,191033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
bwd_urg_flags,2639710,191033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fwd_avg_bytes_bulk,2639710,191033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
