feature,train_non_null,test_non_null,train_missing_ratio,test_missing_ratio,train_mean,test_mean,mean_diff,train_median,test_median,train_std,test_std,abs_smd
packet_length_variance,2639710,191033,0.0,0.0,515905.3299748096,75059.39725561488,-440845.93271919474,626.7,974.7,1700567.3453479887,278266.031180856,0.3618014604301162
bwd_packet_length_std,2639710,191033,0.0,0.0,350.8763546119059,120.44575699973444,-230.43059761217148,0.0,0.0,864.3805267834318,272.50227470635093,0.3595628697007844
packet_length_std,2639710,191033,0.0,0.0,306.83560656522195,131.09236024571786,-175.7432463195041,25.03397691,31.22018578,649.4507509163358,240.572600609463,0.35886097473423667
max_packet_length,2639710,191033,0.0,0.0,987.3034106019222,440.5018033533473,-546.8016072485749,86.0,100.0,2081.021886788485,915.001872037687,0.34016415539253764
bwd_packet_length_max,2639710,191033,0.0,0.0,905.1932814589481,396.28357927687887,-508.9097021820693,79.0,97.0,1999.8270261687458,794.8246813105219,0.33443813025544805
bwd_packet_length_mean,2639710,191033,0.0,0.0,316.0343945229911,166.59234252750394,-149.44205199548713,71.0,89.0,621.16590460854,275.50301105526484,0.31101751202513034
avg_bwd_segment_size,2639710,191033,0.0,0.0,316.03439452299943,166.59234252753012,-149.4420519954693,71.0,89.0,621.1659046085566,275.5030110553876,0.31101751202506356
fwd_iat_std,2639710,191033,0.0,0.0,3419680.566507673,1156613.252180873,-2263067.3143268,0.0,0.0,9901329.12420476,4161604.496261711,0.2979845513353306
packet_length_mean,2639710,191033,0.0,0.0,176.83453801798962,104.37191864843227,-72.46261936955734,56.8,62.15384615,312.7923076488184,161.41237523977122,0.2911425439628028
average_packet_size,2639710,191033,0.0,0.0,197.19470941831676,119.97690685379652,-77.21780256452024,72.0,79.25,340.09611904414777,167.6332309718426,0.28800759011314736
bwd_packet_length_min,2639710,191033,0.0,0.0,39.69425618723269,59.77754628781415,20.083290100581458,0.0,43.0,67.70127489857383,80.97812761306773,0.26908490525942386
min_packet_length,2639710,191033,0.0,0.0,15.948817862568237,23.145765391319824,7.196947528751586,2.0,23.0,24.909364443534002,28.568799238413824,0.268526674473299
idle_max,2639710,191033,0.0,0.0,9032092.977144081,4048163.968555171,-4983929.00858891,0.0,0.0,24907035.256707482,14241232.734288435,0.24566385153764553
fwd_iat_max,2639710,191033,0.0,0.0,9374930.49588629,4455446.155889297,-4919484.339996994,47.0,4.0,25060126.36002799,14672336.744938513,0.23957791163617412
flow_iat_max,2639710,191033,0.0,0.0,9513959.293026129,4602001.96311632,-4911957.329909809,30870.0,30797.0,24984677.537063133,14730376.387782192,0.2395053830573718
idle_mean,2639710,191033,0.0,0.0,8634387.2494857,3917041.055064366,-4717346.194421333,0.0,0.0,24152448.828360133,13882666.767670024,0.2394762877254128
idle_min,2639710,191033,0.0,0.0,8222118.977218331,3745754.236775845,-4476364.7404424865,0.0,0.0,23883201.69204287,13704767.701436028,0.22990084128022995
flow_iat_std,2639710,191033,0.0,0.0,3008026.6534396294,1692836.7403423586,-1315189.9130972708,139.1414149,121.5414881,8145727.814427558,6386025.855412219,0.17969640379452279
psh_flag_count,2639710,191033,0.0,0.0,0.3032374768440473,0.22667287850790177,-0.07656459833614551,0.0,0.0,0.459657034670565,0.41868031033685027,0.1741504319047696
fin_flag_count,2639710,191033,0.0,0.0,0.037002928351978055,0.01295064203566923,-0.024052286316308825,0.0,0.0,0.18876897293904646,0.1130618849198094,0.15458726124637026
