feature,train_non_null,test_non_null,train_missing_ratio,test_missing_ratio,train_mean,test_mean,mean_diff,train_median,test_median,train_std,test_std,abs_smd
packet_length_std,2542141,288602,0.0,0.0,316.25295776871286,107.55426347006946,-208.6986942986434,27.38612788,10.40672859,658.8526928210349,229.1390641136668,0.42310916653569647
max_packet_length,2542141,288602,0.0,0.0,1017.1131329851492,362.78359124330393,-654.3295417418452,91.0,53.0,2111.785595763983,825.9252612624209,0.4080884646298103
bwd_packet_length_std,2542141,288602,0.0,0.0,361.8935057892781,101.304279349635,-260.5892264396431,0.0,0.0,877.9464380840718,255.61537592805857,0.40302758057017724
bwd_packet_length_mean,2542141,288602,0.0,0.0,325.5762335142561,133.06593403433433,-192.51029947992177,77.0,47.0,629.1510457399859,270.6408309292566,0.3975087268882002
avg_bwd_segment_size,2542141,288602,0.0,0.0,325.57623351426594,133.06593403434124,-192.5102994799247,77.0,47.0,629.1510457400044,270.6408309293011,0.3975087268881862
bwd_packet_length_max,2542141,288602,0.0,0.0,932.708096049747,325.9696952897069,-606.7384007600401,83.0,48.0,2028.7210170724475,757.7490732711601,0.3962187564592375
average_packet_size,2542141,288602,0.0,0.0,202.77409900246641,96.9364177427644,-105.83768125970201,74.5,51.25,343.16537257291253,181.25354250789005,0.3856743360475173
packet_length_variance,2542141,288602,0.0,0.0,534072.612590109,64072.303661459024,-470000.30892865,750.0,108.3,1730579.7155414987,208460.35616639507,0.3813233436267999
packet_length_mean,2542141,288602,0.0,0.0,181.75288776788386,85.54657009825746,-96.2063176696264,58.8,41.4,315.5076182910495,173.85128050074758,0.37768746149762156
fwd_iat_std,2542141,288602,0.0,0.0,3541409.1035199035,849457.0647072673,-2691952.0388126364,0.0,0.0,10078030.926344072,3188036.9427849906,0.36016114543858163
flow_iat_max,2542141,288602,0.0,0.0,9879011.658269152,3047058.407252895,-6831953.251016257,31220.0,271.0,25435322.771526657,11291530.112589423,0.34718582627219263
fwd_iat_max,2542141,288602,0.0,0.0,9735627.336124158,2941412.786162258,-6794214.549961899,46.0,8.0,25512179.68449918,11265932.204217842,0.34452629037580257
idle_max,2542141,288602,0.0,0.0,9376316.34663223,2701023.715559837,-6675292.631072393,0.0,0.0,25355271.25554928,10992784.034010848,0.3415978072326358
idle_mean,2542141,288602,0.0,0.0,8963907.23783384,2609290.166796661,-6354617.07103718,0.0,0.0,24590476.65809132,10685912.469013743,0.33517846020082376
idle_min,2542141,288602,0.0,0.0,8537138.928022482,2484256.737115474,-6052882.190907007,0.0,0.0,24321277.004582286,10517584.179281142,0.3230457977503129
flow_iat_std,2542141,288602,0.0,0.0,3128986.3445654237,1071999.6514544452,-2056986.6931109785,230.0789719495,32.261873304999995,8319251.036646373,4639822.010761819,0.3053881290799269
psh_flag_count,2542141,288602,0.0,0.0,0.285749295574085,0.4066014788532304,0.12085218327914538,0.0,0.0,0.45177064528183264,0.49120011428068444,0.2560984427018519
ack_flag_count,2542141,288602,0.0,0.0,0.32569043180531687,0.22911483634902044,-0.09657559545629643,0.0,0.0,0.4686323301118462,0.4202640123836788,0.21697229146190575
flow_duration,2542141,288602,0.0,0.0,15445394.283145584,8974451.3222223,-6470942.960923284,34234.0,307.0,34216936.43297057,27536815.81498727,0.20835696233366
fwd_iat_total,2542141,288602,0.0,0.0,15136573.93132639,8725640.702309756,-6410933.229016634,46.0,11.0,34146036.16335136,27391139.61006727,0.20711561919717392
flow_iat_mean,2542141,288602,0.0,0.0,1377427.9116497666,602763.0583445193,-774664.8533052473,14151.0,170.5,4624813.239721809,3221967.815631558,0.1943660549092731
bwd_iat_std,2542141,288602,0.0,0.0,1579519.7841499792,661972.7083267008,-917547.0758232784,0.0,0.0,6545110.929740075,2923059.436066899,0.18102337863288812
fwd_iat_mean,2542141,288602,0.0,0.0,2763091.8404297577,1263388.4525477234,-1499703.3878820343,33.5,6.0,9721190.06282785,7455269.193383637,0.17312318534876847
bwd_iat_max,2542141,288602,0.0,0.0,4924545.877274707,2571951.3952917857,-2352594.4819829213,3.0,3.0,17725983.188349787,10765377.846156912,0.16042624258077623
fwd_packet_length_std,2542141,288602,0.0,0.0,72.10912798529633,40.731898717637705,-31.37722926765862,0.0,0.0,292.89737018892356,137.7154227260819,0.13710188858666866
flow_packets_s,2539481,288395,0.0010463621018661042,0.0007172507467030721,67263.01126880119,102476.97101650176,35213.959747700574,89.43210613,10230.17903,249314.85512587902,293663.4829103547,0.12927619522223652
fin_flag_count,2542141,288602,0.0,0.0,0.03743734120176654,0.017255597674305793,-0.020181743527460747,0.0,0.0,0.18983097971849486,0.1302225048982934,0.12398283206940158
fwd_packets_s,2542141,288602,0.0,0.0,60533.137816291084,93216.99362897033,32683.85581267925,49.5114866649,6349.206349,242269.22665100734,288172.95235705894,0.12277362802861283
fwd_packet_length_max,2542141,288602,0.0,0.0,215.17801294263379,140.8487501819114,-74.32926276072237,38.0,32.0,742.045455328051,435.7125258646899,0.12215720196341658
idle_std,2542141,288602,0.0,0.0,547302.3376044366,121042.20383100616,-426260.13377343037,0.0,0.0,4823904.699459815,1637034.4867767154,0.1183372706998737
avg_fwd_segment_size,2542141,288602,0.0,0.0,60.07840415240463,41.6731542557517,-18.405249896652933,35.0,29.0,192.14772583138938,118.94141501940761,0.115181599356725
