feature,importance_gain,importance_split
Src Port,39439155.42166564,6633
Idle Mean,4507800.836265266,2527
Dst Port,3717048.351056546,1388
Fwd Header Len,1158385.852725476,405
Idle Max,899878.0381321609,2278
Idle Min,440783.48601529,276
Init Bwd Win Byts,401185.7804762721,760
RST Flag Cnt,380769.0095220804,226
TotLen Fwd Pkts,189958.13514447212,393
Init Fwd Win Byts,142396.85633829236,801
Fwd IAT Std,109650.51529973745,628
Bwd IAT Tot,96878.26356172562,831
Bwd IAT Std,87025.96612268686,467
SYN Flag Cnt,75005.2383274436,140
Pkt Len Min,52925.55234375596,337
Fwd Pkt Len Std,51888.90832436085,564
Bwd Header Len,46794.49925622344,161
Fwd Seg Size Min,45761.37116187811,304
Subflow Fwd Byts,40307.2792571187,419
Bwd Pkt Len Min,33987.79160755873,636
Fwd Pkt Len Max,30420.919365644455,385
Bwd IAT Max,23994.183855980635,742
PSH Flag Cnt,15908.738748073578,69
Bwd IAT Mean,15530.520136088133,728
Flow Byts/s,15520.395829737186,1261
Flow IAT Std,15435.370416492224,958
Bwd Pkts/s,14909.046423077583,942
Bwd Pkt Len Std,13193.747641295195,486
TotLen Bwd Pkts,11248.136774301529,356
Bwd Pkt Len Max,10998.331763267517,187
Flow IAT Min,10840.216405004263,1799
Tot Fwd Pkts,10591.242172122002,137
Bwd IAT Min,10172.027850866318,1702
Bwd Blk Rate Avg,9901.412749171257,1022
Pkt Len Std,9332.84762954712,434
Fwd IAT Min,9297.359367370605,1796
Pkt Len Mean,8209.42873519659,351
Bwd Pkt Len Mean,7925.6698996424675,413
Fwd Act Data Pkts,7844.481257021427,40
Tot Bwd Pkts,7552.939591825008,112
Pkt Len Max,7464.127681970596,299
Flow IAT Max,7448.838986068964,965
Fwd IAT Tot,6880.097648084164,737
Flow IAT Mean,6287.105937093496,613
Fwd Pkt Len Mean,5689.331314951181,420
Fwd IAT Mean,5428.621756076813,632
Fwd Pkts/s,5322.697816103697,626
Fwd Pkt Len Min,5184.93943464756,226
Subflow Bwd Byts,5111.455026268959,418
Idle Std,4136.8539617955685,87
Flow Duration,3924.690775901079,691
Fwd IAT Max,3865.39745426178,717
Active Min,3711.3470097780228,145
Bwd Pkts/b Avg,3410.7007133960724,70
FIN Flag Cnt,3208.4573615193367,89
Bwd Byts/b Avg,3051.7575876116753,175
Pkt Size Avg,2928.545857310295,328
Flow Pkts/s,2574.730060696602,493
Active Max,1571.2468233704567,79
ACK Flag Cnt,1213.0908727645874,99
Pkt Len Var,970.8519151508808,35
Protocol,877.7485313415527,16
Fwd PSH Flags,528.2130358219147,53
Active Mean,487.33422243595123,100
Down/Up Ratio,474.94544035196304,37
Fwd Seg Size Avg,374.8888556957245,32
Bwd Seg Size Avg,295.80903446674347,42
Active Std,113.63436019420624,18
Fwd URG Flags,0.0,0
Bwd URG Flags,0.0,0
Bwd PSH Flags,0.0,0
Fwd Blk Rate Avg,0.0,0
Fwd Pkts/b Avg,0.0,0
Fwd Byts/b Avg,0.0,0
CWE Flag Count,0.0,0
ECE Flag Cnt,0.0,0
URG Flag Cnt,0.0,0
Subflow Fwd Pkts,0.0,0
Subflow Bwd Pkts,0.0,0
