model_key,display_name,selection_scheme,target_fpr_val_requested,target_fpr_val_matched,selected_threshold_from_val,val_f1,val_fpr,test_f1,test_fpr,val_pr_auc,val_roc_auc,test_pr_auc,test_roc_auc,abs_test_target_drift,family
xgboost_tuned_v2,XGBoost Tuned v2,operating_points_from_val_sweep,0.005,0.0051785714285714,0.94,0.9240084635123575,0.0051785714285714,0.932448271460236,0.0179459459459459,0.9972485779954144,0.9942079717167662,0.98907244536216,0.9851458163912612,0.012945945945945898,xgboost
lgbm_main,LightGBM Main,lgbm_main_split_table,0.005,0.005,0.9502581881638772,0.9300951315053162,0.005,0.9320435252708827,0.0294864864864864,0.9976333806599028,0.9950126160118874,0.9880596634735024,0.983763599962797,0.024486486486486398,lightgbm
lgbm_tuned_v2,LightGBM Tuned v2,operating_points_from_val_sweep,0.005,0.0054464285714285,0.96,0.928960279588682,0.0054464285714285,0.9316884763936129,0.0269729729729729,0.9975900554313898,0.994918963936705,0.9882151218065656,0.983906949270368,0.0219729729729729,lightgbm
xgboost_tuned_v1,XGBoost Tuned v1,nearest_val_fpr_from_threshold_sweep,0.005,0.0034821428571428,0.95,0.920441189765844,0.0034821428571428,0.9302222429732,0.0133243243243243,0.9973108434448188,0.9943319449104558,0.9892409646276203,0.9853872790773656,0.008324324324324301,xgboost
xgboost_baseline,XGBoost Baseline,nearest_val_fpr_from_threshold_sweep,0.005,0.0027678571428571,0.95,0.914744187103666,0.0027678571428571,0.9270503157944168,0.0098918918918918,0.9970201522418004,0.9937370918987904,0.989067876375929,0.985190148776236,0.0048918918918918,xgboost
catboost_baseline,CatBoost Baseline,nearest_val_fpr_from_threshold_sweep,0.005,0.0040178571428571,0.95,0.9085010623472162,0.0040178571428571,0.9202323353010068,0.0082702702702702,0.9967674323044196,0.9932082192437433,0.9882463547396788,0.9841081850181602,0.0032702702702702,catboost
rf_baseline,Random Forest Baseline,target_fpr_from_val_table_old,0.005,0.005,0.9305083363534802,0.9200560375994216,0.0048214285714285,0.9082734239684912,0.0184054054054054,0.9970951111219752,0.9939811138039916,0.9842289519331174,0.9805495473634755,0.013405405405405399,random_forest
rf_tuned,Random Forest Tuned,target_fpr_from_val_table_old,0.005,0.005,0.9359117135759634,0.9177744061233272,0.0046428571428571,0.9059639851941776,0.017,0.9969760235487012,0.993864856636569,0.9837913610218422,0.9804363935982218,0.012,random_forest
logreg_tuned,Logistic Regression Tuned,target_fpr_from_val_table_old,0.005,0.005,0.8911336084267764,0.8295418370595293,0.005,0.8353479338631775,0.0065405405405405,0.9915399406517726,0.9838249227835664,0.9653641154511642,0.954129816417494,0.0015405405405404995,logreg
logreg_baseline,Logistic Regression Baseline,target_fpr_from_val_table_old,0.005,0.005,0.8927151569350331,0.8263517163482788,0.005,0.8334527954126562,0.0064324324324324,0.9914289444157308,0.9835952844051262,0.9649148995506076,0.9534451708834044,0.0014324324324323998,logreg
